Fecha,Anio,MesNumero,Mes,Canal,Subcanal,Ventas,VentasMesAnterior,VentasAnioAnterior,Objetivo,ImagenCanal
2024-01-01,2024,1,Enero,HOTEL,Hotel 3*,33065,,,31412,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2024-02-01,2024,2,Febrero,HOTEL,Hotel 3*,30320,33065,,28804,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2024-03-01,2024,3,Marzo,HOTEL,Hotel 3*,41597,30320,,39517,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2024-04-01,2024,4,Abril,HOTEL,Hotel 3*,43923,41597,,41727,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2024-05-01,2024,5,Mayo,HOTEL,Hotel 3*,52322,43923,,49706,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2024-06-01,2024,6,Junio,HOTEL,Hotel 3*,56542,52322,,53715,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2024-07-01,2024,7,Julio,HOTEL,Hotel 3*,55789,56542,,53000,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2024-08-01,2024,8,Agosto,HOTEL,Hotel 3*,69190,55789,,65730,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2024-09-01,2024,9,Septiembre,HOTEL,Hotel 3*,46909,69190,,44564,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
2024-10-01,2024,10,Octubre,HOTEL,Hotel 3*,43493,46909,,41318,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAYAAAByDd+UAAAA7ElEQVR42sXWQQ3EIBAF0EpAAhKQQFbBSuCwAioBB5WABCT0vKeVgIRKYCGZJg0Z2m7hdw//2LxOGJgZ3q/HcGeufCRSNEWiwGeKS1lSIhOfYuhnmsBcRaggXPIPjVfB6QeozFyrtoa5BmzNh0N7V8ahu6DuiK2xe2AAgHF7fcrWj6BMHOiAYODABQjmqC0owFikIxuQ3cl2699AeQNoyqZBg7oEPRBbuGthgKDjQAG8i7r2lo4AzB+Np7nz2YkjUNAc64GpsxO/FWWxM0uUvXhmomVNlDTPwkFFbtuNvRZhRa++pZgzSOvm3ZQv3PFAQaB2f1MAAAAASUVORK5CYII="
