Month,Revenue,PriorRevenue,RevenueTarget,Units,PriorUnits,UnitsTarget,GrossMargin,Expenses,NetProfit,CustomerCount,CSAT,Churn
Jan 2024,1250000,1100000,1300000,4200,3900,4500,625000,480000,145000,312,4.2,2.1
Feb 2024,1180000,1050000,1250000,3950,3700,4200,590000,460000,130000,298,4.1,2.3
Mar 2024,1420000,1200000,1380000,4750,4100,4600,710000,510000,200000,345,4.4,1.9
Apr 2024,1550000,1280000,1450000,5100,4300,4800,775000,540000,235000,378,4.5,1.7
May 2024,1630000,1350000,1500000,5400,4500,5000,815000,560000,255000,401,4.6,1.5
Jun 2024,1480000,1310000,1520000,4900,4350,5100,740000,545000,195000,389,4.3,1.8
Jul 2024,1390000,1250000,1480000,4650,4150,4900,695000,530000,165000,372,4.2,2.0
Aug 2024,1510000,1290000,1490000,5050,4280,4950,755000,535000,220000,385,4.3,1.9
Sep 2024,1720000,1420000,1550000,5750,4720,5200,860000,575000,285000,421,4.7,1.4
Oct 2024,1850000,1530000,1620000,6100,5050,5400,925000,605000,320000,448,4.8,1.3
Nov 2024,2100000,1680000,1800000,7000,5600,6000,1050000,650000,400000,512,4.9,1.1
Dec 2024,2350000,1920000,2000000,7850,6400,6500,1175000,710000,465000,578,4.9,0.9
Jan 2025,1380000,1250000,1450000,4600,4200,4800,690000,495000,195000,334,4.3,2.0
Feb 2025,1290000,1180000,1350000,4300,3950,4500,645000,472000,173000,318,4.2,2.1
Mar 2025,1580000,1420000,1520000,5250,4750,5000,790000,525000,265000,362,4.5,1.7
